Sample	Site	Species	SiteSpecies	Geno	Temp	Replicate	FvFm
WA3-30B	AlWajh	Acropora	WA	3	30	B	0.593
WA4-30B	AlWajh	Acropora	WA	4	30	B	0.582
WA5-30B	AlWajh	Acropora	WA	5	30	B	0.574
WA6-30B	AlWajh	Acropora	WA	6	30	B	0.578
WA7-30B	AlWajh	Acropora	WA	7	30	B	0.583
WA1-33A	AlWajh	Acropora	WA	1	33	A	0.547
WA2-33A	AlWajh	Acropora	WA	2	33	A	0.618
WA3-33A	AlWajh	Acropora	WA	3	33	A	0.618
WA4-33A	AlWajh	Acropora	WA	4	33	A	0.599
WA5-33A	AlWajh	Acropora	WA	5	33	A	0.565
WA6-33A	AlWajh	Acropora	WA	6	33	A	0.584
WA7-33A	AlWajh	Acropora	WA	7	33	A	0.628
WA1-33B	AlWajh	Acropora	WA	1	33	B	0.572
WA2-33B	AlWajh	Acropora	WA	2	33	B	0.687
WA3-33B	AlWajh	Acropora	WA	3	33	B	0.614
WA4-33B	AlWajh	Acropora	WA	4	33	B	0.584
WA5-33B	AlWajh	Acropora	WA	5	33	B	0.516
WA6-33B	AlWajh	Acropora	WA	6	33	B	0.59
WA7-33B	AlWajh	Acropora	WA	7	33	B	0.572
WA1-36A	AlWajh	Acropora	WA	1	36	A	0.539
WA2-36A	AlWajh	Acropora	WA	2	36	A	0.531
WA3-36A	AlWajh	Acropora	WA	3	36	A	0.555
WA4-36A	AlWajh	Acropora	WA	4	36	A	0.509
WA5-36A	AlWajh	Acropora	WA	5	36	A	0.465
WA6-36A	AlWajh	Acropora	WA	6	36	A	0.489
WA7-36A	AlWajh	Acropora	WA	7	36	A	0.481
WA1-36B	AlWajh	Acropora	WA	1	36	B	0.553
WA2-36B	AlWajh	Acropora	WA	2	36	B	0.542
WA3-36B	AlWajh	Acropora	WA	3	36	B	0.521
WA4-36B	AlWajh	Acropora	WA	4	36	B	0.514
WA5-36B	AlWajh	Acropora	WA	5	36	B	0.542
WA6-36B	AlWajh	Acropora	WA	6	36	B	0.555
WA7-36B	AlWajh	Acropora	WA	7	36	B	0.538
WA1-39A	AlWajh	Acropora	WA	1	39	A	0.042
WA2-39A	AlWajh	Acropora	WA	2	39	A	0.136
WA3-39A	AlWajh	Acropora	WA	3	39	A	0.182
WA4-39A	AlWajh	Acropora	WA	4	39	A	0.032
WA5-39A	AlWajh	Acropora	WA	5	39	A	0.061
WA6-39A	AlWajh	Acropora	WA	6	39	A	0.014
WA7-39A	AlWajh	Acropora	WA	7	39	A	0.037
WA1-39B	AlWajh	Acropora	WA	1	39	B	0.051
WA2-39B	AlWajh	Acropora	WA	2	39	B	0
WA3-39B	AlWajh	Acropora	WA	3	39	B	0.045
WA4-39B	AlWajh	Acropora	WA	4	39	B	0.013
WA5-39B	AlWajh	Acropora	WA	5	39	B	0
WA6-39B	AlWajh	Acropora	WA	6	39	B	0.022
WA7-39B	AlWajh	Acropora	WA	7	39	B	0.06
WP1-30A	AlWajh	Pocillopora	WP	1	30	A	0.555
WP2-30A	AlWajh	Pocillopora	WP	2	30	A	0.508
WP3-30A	AlWajh	Pocillopora	WP	3	30	A	0.549
WP4-30A	AlWajh	Pocillopora	WP	4	30	A	0.621
WP5-30A	AlWajh	Pocillopora	WP	5	30	A	0.57
WP6-30A	AlWajh	Pocillopora	WP	6	30	A	0.552
WP7-30A	AlWajh	Pocillopora	WP	7	30	A	0.528
WP1-30B	AlWajh	Pocillopora	WP	1	30	B	0.609
WP2-30B	AlWajh	Pocillopora	WP	2	30	B	0.607
WP3-30B	AlWajh	Pocillopora	WP	3	30	B	0.608
WP4-30B	AlWajh	Pocillopora	WP	4	30	B	0.609
WP5-30B	AlWajh	Pocillopora	WP	5	30	B	0.422
WP6-30B	AlWajh	Pocillopora	WP	6	30	B	0.601
WP7-30B	AlWajh	Pocillopora	WP	7	30	B	0.583
WP1-33A	AlWajh	Pocillopora	WP	1	33	A	0.6
WP2-33A	AlWajh	Pocillopora	WP	2	33	A	0.531
WP3-33A	AlWajh	Pocillopora	WP	3	33	A	0.589
WP4-33A	AlWajh	Pocillopora	WP	4	33	A	0.573
