Sample	Site	Species	SiteSpecies	Geno	Temp	Replicate	FvFm
YP3-30A	Yanbu	Pocillopora	YP	3	30	A	0.593
YP4-30A	Yanbu	Pocillopora	YP	4	30	A	0.565
YP5-30A	Yanbu	Pocillopora	YP	5	30	A	0.57
YP6-30A	Yanbu	Pocillopora	YP	6	30	A	0.623
YP7-30A	Yanbu	Pocillopora	YP	7	30	A	0.596
YP1-30B	Yanbu	Pocillopora	YP	1	30	B	0.637
YP2-30B	Yanbu	Pocillopora	YP	2	30	B	0.601
YP3-30B	Yanbu	Pocillopora	YP	3	30	B	0.609
YP4-30B	Yanbu	Pocillopora	YP	4	30	B	0.628
YP5-30B	Yanbu	Pocillopora	YP	5	30	B	0.59
YP6-30B	Yanbu	Pocillopora	YP	6	30	B	0.613
YP7-30B	Yanbu	Pocillopora	YP	7	30	B	0.606
YP1-33A	Yanbu	Pocillopora	YP	1	33	A	0.383
YP2-33A	Yanbu	Pocillopora	YP	2	33	A	0.595
YP3-33A	Yanbu	Pocillopora	YP	3	33	A	0.513
YP4-33A	Yanbu	Pocillopora	YP	4	33	A	0.545
YP5-33A	Yanbu	Pocillopora	YP	5	33	A	0.587
YP6-33A	Yanbu	Pocillopora	YP	6	33	A	0.566
YP7-33A	Yanbu	Pocillopora	YP	7	33	A	0.551
YP1-33B	Yanbu	Pocillopora	YP	1	33	B	0.572
YP2-33B	Yanbu	Pocillopora	YP	2	33	B	0.55
YP3-33B	Yanbu	Pocillopora	YP	3	33	B	0.582
YP4-33B	Yanbu	Pocillopora	YP	4	33	B	0.601
YP5-33B	Yanbu	Pocillopora	YP	5	33	B	0.62
YP6-33B	Yanbu	Pocillopora	YP	6	33	B	0.59
YP7-33B	Yanbu	Pocillopora	YP	7	33	B	0.503
YP1-36A	Yanbu	Pocillopora	YP	1	36	A	0.298
YP2-36A	Yanbu	Pocillopora	YP	2	36	A	0.309
YP3-36A	Yanbu	Pocillopora	YP	3	36	A	0.267
YP4-36A	Yanbu	Pocillopora	YP	4	36	A	0.331
YP5-36A	Yanbu	Pocillopora	YP	5	36	A	0.27
YP6-36A	Yanbu	Pocillopora	YP	6	36	A	0.241
YP7-36A	Yanbu	Pocillopora	YP	7	36	A	0.241
YP1-36B	Yanbu	Pocillopora	YP	1	36	B	0.392
YP2-36B	Yanbu	Pocillopora	YP	2	36	B	0.302
YP3-36B	Yanbu	Pocillopora	YP	3	36	B	0.27
YP4-36B	Yanbu	Pocillopora	YP	4	36	B	0.156
YP5-36B	Yanbu	Pocillopora	YP	5	36	B	0.322
YP6-36B	Yanbu	Pocillopora	YP	6	36	B	0.21
YP7-36B	Yanbu	Pocillopora	YP	7	36	B	0.225
YP1-39A	Yanbu	Pocillopora	YP	1	39	A	0.04
YP2-39A	Yanbu	Pocillopora	YP	2	39	A	0.038
YP3-39A	Yanbu	Pocillopora	YP	3	39	A	0
YP4-39A	Yanbu	Pocillopora	YP	4	39	A	0.028
YP5-39A	Yanbu	Pocillopora	YP	5	39	A	0.011
YP6-39A	Yanbu	Pocillopora	YP	6	39	A	0.029
YP7-39A	Yanbu	Pocillopora	YP	7	39	A	0
YP1-39B	Yanbu	Pocillopora	YP	1	39	B	0.003
YP2-39B	Yanbu	Pocillopora	YP	2	39	B	0
YP3-39B	Yanbu	Pocillopora	YP	3	39	B	0.017
YP4-39B	Yanbu	Pocillopora	YP	4	39	B	0
YP5-39B	Yanbu	Pocillopora	YP	5	39	B	0.125
YP6-39B	Yanbu	Pocillopora	YP	6	39	B	0.03
YP7-39B	Yanbu	Pocillopora	YP	7	39	B	0
YL1-30A	Yanbu	Porites	YL	1	30	A	0.606
YL2-30A	Yanbu	Porites	YL	2	30	A	0.545
YL3-30A	Yanbu	Porites	YL	3	30	A	0.608
YL4-30A	Yanbu	Porites	YL	4	30	A	0.568
YL5-30A	Yanbu	Porites	YL	5	30	A	0.576
YL6-30A	Yanbu	Porites	YL	6	30	A	0.51
YL7-30A	Yanbu	Porites	YL	7	30	A	0.602
YL1-30B	Yanbu	Porites	YL	1	30	B	0.595
YL2-30B	Yanbu	Porites	YL	2	30	B	0.47
YL3-30B	Yanbu	Porites	YL	3	30	B	0.625
YL4-30B	Yanbu	Porites	YL	4	30	B	0.558
YL5-30B	Yanbu	Porites	YL	5	30	B	0.599
YL6-30B	Yanbu	Porites	YL	6	30	B	0.516
YL7-30B	Yanbu	Porites	YL	7	30	B	0.593
YL1-33A	Yanbu	Porites	YL	1	33	A	0.583
YL2-33A	Yanbu	Porites	YL	2	33	A	0.467
YL3-33A	Yanbu	Porites	YL	3	33	A	0.594
YL4-33A	Yanbu	Porites	YL	4	33	A	0.56
YL5-33A	Yanbu	Porites	YL	5	33	A	0.56
YL6-33A	Yanbu	Porites	YL	6	33	A	0.31
YL7-33A	Yanbu	Porites	YL	7	33	A	0.598
YL1-33B	Yanbu	Porites	YL	1	33	B	0.58
YL2-33B	Yanbu	Porites	YL	2	33	B	0.505
YL3-33B	Yanbu	Porites	YL	3	33	B	0.609
YL4-33B	Yanbu	Porites	YL	4	33	B	0.562
YL5-33B	Yanbu	Porites	YL	5	33	B	0.585
YL6-33B	Yanbu	Porites	YL	6	33	B	0.525
YL7-33B	Yanbu	Porites	YL	7	33	B	0.613
YL1-36A	Yanbu	Porites	YL	1	36	A	0.426
YL2-36A	Yanbu	Porites	YL	2	36	A	0.379
YL3-36A	Yanbu	Porites	YL	3	36	A	0.493
YL4-36A	Yanbu	Porites	YL	4	36	A	0.277
YL5-36A	Yanbu	Porites	YL	5	36	A	0.177
YL6-36A	Yanbu	Porites	YL	6	36	A	0.417
YL7-36A	Yanbu	Porites	YL	7	36	A	0.348
YL1-36B	Yanbu	Porites	YL	1	36	B	0.478
YL2-36B	Yanbu	Porites	YL	2	36	B	0.436
YL3-36B	Yanbu	Porites	YL	3	36	B	0.282
YL4-36B	Yanbu	Porites	YL	4	36	B	0.12
YL5-36B	Yanbu	Porites	YL	5	36	B	0.292
YL6-36B	Yanbu	Porites	YL	6	36	B	0.384
YL7-36B	Yanbu	Porites	YL	7	36	B	0.386
YL1-39A	Yanbu	Porites	YL	1	39	A	0.228
YL2-39A	Yanbu	Porites	YL	2	39	A	0
YL3-39A	Yanbu	Porites	YL	3	39	A	0.04
YL4-39A	Yanbu	Porites	YL	4	39	A	0.05
YL5-39A	Yanbu	Porites	YL	5	39	A	0
YL6-39A	Yanbu	Porites	YL	6	39	A	0.013
YL7-39A	Yanbu	Porites	YL	7	39	A	0.018
YL1-39B	Yanbu	Porites	YL	1	39	B	0
YL2-39B	Yanbu	Porites	YL	2	39	B	0.041
YL3-39B	Yanbu	Porites	YL	3	39	B	0.168
YL4-39B	Yanbu	Porites	YL	4	39	B	0
YL5-39B	Yanbu	Porites	YL	5	39	B	0.003
YL6-39B	Yanbu	Porites	YL	6	39	B	0.008
YL7-39B	Yanbu	Porites	YL	7	39	B	0.029
YS1-30A	Yanbu	Stylophora	YS	1	30	A	0.219
YS2-30A	Yanbu	Stylophora	YS	2	30	A	0.295
YS3-30A	Yanbu	Stylophora	YS	3	30	A	0.456
YS4-30A	Yanbu	Stylophora	YS	4	30	A	0.207
YS5-30A	Yanbu	Stylophora	YS	5	30	A	0.499
YS6-30A	Yanbu	Stylophora	YS	6	30	A	0.523
YS7-30A	Yanbu	Stylophora	YS	7	30	A	0.545
YS1-30B	Yanbu	Stylophora	YS	1	30	B	0.583
YS2-30B	Yanbu	Stylophora	YS	2	30	B	0.523
YS3-30B	Yanbu	Stylophora	YS	3	30	B	0.581
YS4-30B	Yanbu	Stylophora	YS	4	30	B	0.328
YS5-30B	Yanbu	Stylophora	YS	5	30	B	0.563
YS6-30B	Yanbu	Stylophora	YS	6	30	B	0.52
YS7-30B	Yanbu	Stylophora	YS	7	30	B	0.608
YS1-33A	Yanbu	Stylophora	YS	1	33	A	0.547
YS2-33A	Yanbu	Stylophora	YS	2	33	A	0.535
YS3-33A	Yanbu	Stylophora	YS	3	33	A	0.538
YS4-33A	Yanbu	Stylophora	YS	4	33	A	0.58
YS5-33A	Yanbu	Stylophora	YS	5	33	A	0.514
YS6-33A	Yanbu	Stylophora	YS	6	33	A	0.447
YS7-33A	Yanbu	Stylophora	YS	7	33	A	0.531
YS1-33B	Yanbu	Stylophora	YS	1	33	B	0.55
YS2-33B	Yanbu	Stylophora	YS	2	33	B	0.32
YS3-33B	Yanbu	Stylophora	YS	3	33	B	0.525
YS4-33B	Yanbu	Stylophora	YS	4	33	B	0.194
YS5-33B	Yanbu	Stylophora	YS	5	33	B	0.509
YS6-33B	Yanbu	Stylophora	YS	6	33	B	0.525
YS7-33B	Yanbu	Stylophora	YS	7	33	B	0.521
YS1-36A	Yanbu	Stylophora	YS	1	36	A	0.514
YS2-36A	Yanbu	Stylophora	YS	2	36	A	0.317
YS3-36A	Yanbu	Stylophora	YS	3	36	A	0.473
YS4-36A	Yanbu	Stylophora	YS	4	36	A	0.26
YS5-36A	Yanbu	Stylophora	YS	5	36	A	0.466
YS6-36A	Yanbu	Stylophora	YS	6	36	A	0.328
YS7-36A	Yanbu	Stylophora	YS	7	36	A	0.504
YS1-36B	Yanbu	Stylophora	YS	1	36	B	0.401
YS2-36B	Yanbu	Stylophora	YS	2	36	B	0.305
YS3-36B	Yanbu	Stylophora	YS	3	36	B	0.328
YS4-36B	Yanbu	Stylophora	YS	4	36	B	0.324
YS5-36B	Yanbu	Stylophora	YS	5	36	B	0.412
YS6-36B	Yanbu	Stylophora	YS	6	36	B	0.311
YS7-36B	Yanbu	Stylophora	YS	7	36	B	0.333
YS1-39A	Yanbu	Stylophora	YS	1	39	A	0.142
YS2-39A	Yanbu	Stylophora	YS	2	39	A	0.004
YS3-39A	Yanbu	Stylophora	YS	3	39	A	0.003
YS4-39A	Yanbu	Stylophora	YS	4	39	A	0
YS5-39A	Yanbu	Stylophora	YS	5	39	A	0
YS6-39A	Yanbu	Stylophora	YS	6	39	A	0.008
YS7-39A	Yanbu	Stylophora	YS	7	39	A	0
YS1-39B	Yanbu	Stylophora	YS	1	39	B	0.017
YS2-39B	Yanbu	Stylophora	YS	2	39	B	0
YS3-39B	Yanbu	Stylophora	YS	3	39	B	0.024
YS4-39B	Yanbu	Stylophora	YS	4	39	B	0.002
YS5-39B	Yanbu	Stylophora	YS	5	39	B	0.079
YS6-39B	Yanbu	Stylophora	YS	6	39	B	0.034
YS7-39B	Yanbu	Stylophora	YS	7	39	B	0.001
